SCH_YR,DIV_NUM,DIV_NAME,B0AND10,B11AND15,B16AND20,OVER20
2012,27,Dinwiddie County ,85.77%,7.82%,2.75%,3.66%
2013,27,Dinwiddie County ,85.83%,7.46%,3.01%,3.71%
2014,27,Dinwiddie County ,85.05%,7.76%,2.85%,4.35%
2015,27,Dinwiddie County ,85.95%,6.90%,3.00%,4.15%
2010,28,Essex County ,88.12%,7.04%,2.39%,2.45%
2011,28,Essex County ,90.78%,5.39%,1.68%,2.15%
2012,28,Essex County ,88.85%,6.13%,2.04%,2.97%
2013,28,Essex County ,88.64%,6.82%,2.21%,2.34%
2014,28,Essex County ,86.84%,6.51%,3.10%,3.54%
2015,28,Essex County ,87.39%,6.70%,2.85%,3.05%
2010,29,Fairfax County ,91.26%,5.07%,1.69%,1.98%
2011,29,Fairfax County ,91.97%,4.54%,1.50%,2.00%
2012,29,Fairfax County ,91.24%,5.01%,1.64%,2.11%
2013,29,Fairfax County ,91.89%,4.64%,1.49%,1.99%
2014,29,Fairfax County ,91.15%,5.12%,1.52%,2.21%
2015,29,Fairfax County ,90.45%,5.33%,1.73%,2.49%
2010,30,Fauquier County ,92.19%,4.15%,1.55%,2.10%
2011,30,Fauquier County ,92.65%,3.86%,1.29%,2.20%
2012,30,Fauquier County ,92.79%,3.81%,1.36%,2.03%
2013,30,Fauquier County ,93.05%,3.90%,1.21%,1.84%
2014,30,Fauquier County ,93.59%,3.70%,1.17%,1.54%
2015,30,Fauquier County ,94.05%,3.35%,1.11%,1.49%
2010,31,Floyd County ,87.89%,6.06%,2.48%,3.58%
2011,31,Floyd County ,90.17%,5.19%,2.11%,2.53%
2012,31,Floyd County ,88.92%,6.84%,2.03%,2.22%
2013,31,Floyd County ,88.19%,6.77%,2.73%,2.30%
2014,31,Floyd County ,90.14%,5.00%,1.63%,3.22%
2015,31,Floyd County ,88.50%,6.82%,1.86%,2.81%
2010,32,Fluvanna County ,90.72%,5.41%,2.36%,1.51%
2011,32,Fluvanna County ,89.48%,6.54%,1.89%,2.09%
2012,32,Fluvanna County ,89.26%,5.62%,2.71%,2.42%
2013,32,Fluvanna County ,89.31%,6.62%,1.99%,2.07%
2014,32,Fluvanna County ,89.16%,6.48%,2.10%,2.26%
2015,32,Fluvanna County ,88.84%,6.03%,2.42%,2.70%
2010,33,Franklin County ,89.45%,6.03%,1.98%,2.55%
2011,33,Franklin County ,89.53%,6.05%,1.77%,2.65%
2012,33,Franklin County ,89.80%,5.70%,2.06%,2.44%
2013,33,Franklin County ,91.82%,4.76%,1.60%,1.82%
2014,33,Franklin County ,81.96%,10.12%,4.31%,3.61%
2015,33,Franklin County ,80.81%,10.45%,4.20%,4.53%
2010,34,Frederick County ,87.53%,6.74%,2.41%,3.32%
2011,34,Frederick County ,87.66%,6.38%,2.62%,3.33%
2012,34,Frederick County ,85.93%,7.95%,2.85%,3.27%
2013,34,Frederick County ,87.94%,6.27%,2.77%,3.01%
2014,34,Frederick County ,87.55%,6.77%,2.65%,3.02%
2015,34,Frederick County ,87.48%,6.80%,2.70%,3.01%
2010,35,Giles County ,82.56%,8.72%,4.00%,4.72%
2011,35,Giles County ,85.66%,7.15%,2.62%,4.57%
2012,35,Giles County ,86.07%,7.10%,3.26%,3.57%
2013,35,Giles County ,86.12%,6.88%,2.94%,4.06%
2014,35,Giles County ,84.30%,9.18%,2.77%,3.75%
2015,35,Giles County ,86.39%,8.15%,2.73%,2.73%
2010,36,Gloucester County ,88.87%,5.82%,2.15%,3.15%
2011,36,Gloucester County ,86.20%,7.01%,2.88%,3.91%
2012,36,Gloucester County ,85.11%,8.10%,2.44%,4.34%
2013,36,Gloucester County ,87.17%,6.80%,2.56%,3.47%
2014,36,Gloucester County ,85.96%,7.40%,3.01%,3.62%
2015,36,Gloucester County ,86.57%,7.37%,2.73%,3.34%
2010,37,Goochland County ,93.05%,3.77%,1.22%,1.96%
2011,37,Goochland County ,91.05%,4.88%,1.87%,2.20%
2012,37,Goochland County ,93.34%,3.64%,1.08%,1.94%
2013,37,Goochland County ,92.84%,4.50%,1.17%,1.49%
2014,37,Goochland County ,93.34%,4.03%,1.20%,1.44%
2015,37,Goochland County ,91.63%,4.74%,1.60%,2.03%
2010,38,Grayson County ,86.33%,6.91%,2.47%,4.29%
2011,38,Grayson County ,86.61%,8.06%,2.58%,2.74%
2012,38,Grayson County ,85.12%,8.43%,2.03%,4.42%
2013,38,Grayson County ,88.24%,6.27%,3.00%,2.48%
2014,38,Grayson County ,71.28%,14.60%,5.94%,8.17%
2015,38,Grayson County ,85.21%,7.76%,3.12%,3.91%
2010,39,Greene County ,90.37%,5.46%,1.83%,2.33%
2011,39,Greene County ,92.75%,4.55%,1.59%,1.10%
2012,39,Greene County ,92.44%,4.47%,1.45%,1.64%
2013,39,Greene County ,93.96%,4.27%,0.76%,1.01%
2014,39,Greene County ,91.37%,4.98%,1.49%,2.17%
2015,39,Greene County ,86.00%,7.72%,2.87%,3.42%
2010,40,Greensville County ,77.50%,10.37%,4.47%,7.66%
2011,40,Greensville County ,79.57%,8.93%,4.83%,6.67%
2012,40,Greensville County ,78.64%,10.33%,4.29%,6.74%
2013,40,Greensville County ,86.46%,5.84%,3.74%,3.97%
2014,40,Greensville County ,76.13%,11.31%,5.01%,7.55%
2015,40,Greensville County ,71.66%,12.74%,6.18%,9.42%
2010,41,Halifax County ,85.96%,7.11%,2.73%,4.19%
2011,41,Halifax County ,85.47%,7.13%,3.19%,4.22%
2012,41,Halifax County ,83.75%,8.35%,3.30%,4.60%
2013,41,Halifax County ,88.82%,5.61%,2.60%,2.96%
2014,41,Halifax County ,89.55%,5.53%,2.36%,2.56%
2015,41,Halifax County ,88.77%,6.14%,2.46%,2.63%
2010,42,Hanover County ,96.47%,2.16%,0.61%,0.76%
2011,42,Hanover County ,95.70%,2.26%,0.83%,1.20%
2012,42,Hanover County ,95.90%,2.15%,0.92%,1.04%
2013,42,Hanover County ,95.56%,2.41%,0.62%,1.40%
2014,42,Hanover County ,95.51%,2.67%,0.67%,1.16%
2015,42,Hanover County ,95.18%,2.38%,0.93%,1.50%
2010,43,Henrico County ,91.51%,4.51%,1.76%,2.22%
2011,43,Henrico County ,91.47%,4.52%,1.77%,2.24%
2012,43,Henrico County ,92.50%,4.25%,1.62%,1.64%
2013,43,Henrico County ,93.12%,3.94%,1.33%,1.60%
2014,43,Henrico County ,91.22%,5.01%,1.64%,2.13%
2015,43,Henrico County ,90.95%,4.77%,1.89%,2.39%
2010,44,Henry County ,88.79%,6.15%,2.33%,2.73%
2011,44,Henry County ,89.88%,5.52%,2.13%,2.47%
2012,44,Henry County ,88.38%,6.39%,2.39%,2.84%
2013,44,Henry County ,89.84%,5.48%,1.96%,2.73%
2014,44,Henry County ,88.43%,6.11%,2.54%,2.92%
2015,44,Henry County ,88.51%,6.12%,2.39%,2.98%
2010,45,Highland County ,86.50%,10.13%,2.53%,0.84%
2011,45,Highland County ,86.41%,9.22%,2.43%,1.94%
2012,45,Highland County ,85.15%,9.41%,2.48%,2.97%
2013,45,Highland County ,83.66%,7.43%,4.46%,4.46%
2014,45,Highland County ,84.02%,9.28%,2.58%,4.12%
2015,45,Highland County ,72.20%,16.10%,7.32%,4.39%
2010,46,Isle of Wight County ,91.14%,4.24%,1.80%,2.82%
2011,46,Isle of Wight County ,91.75%,4.26%,1.35%,2.64%
2012,46,Isle of Wight County ,94.69%,3.47%,1.03%,0.80%
2013,46,Isle of Wight County ,92.30%,3.77%,1.46%,2.47%
2014,46,Isle of Wight County ,92.26%,4.44%,1.58%,1.72%
2015,46,Isle of Wight County ,92.00%,4.47%,1.55%,1.97%
2010,48,King George County ,85.43%,8.46%,3.13%,2.97%
2011,48,King George County ,87.39%,7.36%,2.80%,2.44%
2012,48,King George County ,84.78%,8.54%,3.10%,3.58%
2013,48,King George County ,87.33%,6.80%,3.04%,2.84%
2014,48,King George County ,86.37%,7.92%,2.80%,2.91%
2015,48,King George County ,86.08%,7.82%,2.74%,3.36%
2010,49,King and Queen County ,80.37%,10.74%,3.46%,5.43%
2011,49,King and Queen County ,81.02%,9.49%,3.89%,5.60%
2012,49,King and Queen County ,84.10%,8.50%,3.81%,3.59%
2013,49,King and Queen County ,85.17%,7.53%,3.26%,4.04%
2014,49,King and Queen County ,84.62%,8.02%,3.08%,4.29%
2015,49,King and Queen County ,84.44%,7.73%,3.53%,4.30%
2010,50,King William County ,90.02%,6.46%,1.67%,1.85%
2011,50,King William County ,90.14%,5.35%,1.68%,2.83%
2012,50,King William County ,89.28%,6.72%,2.07%,1.93%
2013,50,King William County ,86.44%,8.81%,2.40%,2.35%
2014,50,King William County ,85.39%,9.06%,2.69%,2.86%
2015,50,King William County ,86.75%,7.48%,2.45%,3.31%
2010,51,Lancaster County ,90.11%,6.89%,1.35%,1.65%
2011,51,Lancaster County ,88.49%,6.72%,2.78%,2.01%
2012,51,Lancaster County ,86.10%,8.57%,2.47%,2.86%
2013,51,Lancaster County ,86.37%,7.58%,3.63%,2.42%
2014,51,Lancaster County ,85.24%,8.99%,2.46%,3.31%
2015,51,Lancaster County ,79.25%,10.96%,4.60%,5.19%
2010,52,Lee County ,79.87%,11.03%,4.37%,4.73%
2011,52,Lee County ,76.38%,13.44%,4.70%,5.48%
2012,52,Lee County ,79.19%,11.86%,4.03%,4.93%
2013,52,Lee County ,80.12%,11.03%,4.43%,4.43%
2014,52,Lee County ,81.56%,10.34%,3.56%,4.54%
2015,52,Lee County ,80.26%,9.64%,4.33%,5.77%
2010,53,Loudoun County ,94.39%,3.38%,1.16%,1.07%
2011,53,Loudoun County ,94.04%,3.74%,1.11%,1.11%
2012,53,Loudoun County ,94.14%,3.81%,1.07%,0.97%
2013,53,Loudoun County ,94.62%,3.42%,0.97%,0.99%
2014,53,Loudoun County ,94.63%,3.40%,1.04%,0.93%
2015,53,Loudoun County ,93.03%,4.51%,1.22%,1.23%
2010,54,Louisa County ,90.09%,5.24%,2.20%,2.47%
2011,54,Louisa County ,88.33%,5.87%,2.09%,3.71%
2012,54,Louisa County ,87.44%,6.87%,2.47%,3.23%
2013,54,Louisa County ,98.00%,0.66%,0.32%,1.02%
2014,54,Louisa County ,90.18%,5.06%,2.21%,2.55%
2015,54,Louisa County ,88.13%,5.73%,2.50%,3.64%
2010,55,Lunenburg County ,80.60%,9.82%,4.12%,5.47%
2011,55,Lunenburg County ,81.83%,9.90%,4.31%,3.95%
2012,55,Lunenburg County ,82.08%,9.39%,3.83%,4.70%
2013,55,Lunenburg County ,85.74%,8.57%,2.39%,3.30%
2014,55,Lunenburg County ,85.46%,8.31%,2.44%,3.79%
2015,55,Lunenburg County ,82.75%,8.81%,3.69%,4.75%
2010,56,Madison County ,90.15%,6.02%,2.02%,1.81%
2011,56,Madison County ,92.65%,3.99%,1.84%,1.52%
2012,56,Madison County ,90.56%,5.32%,2.24%,1.88%
2013,56,Madison County ,90.58%,5.97%,1.62%,1.83%
2014,56,Madison County ,91.13%,5.32%,1.88%,1.67%
2015,56,Madison County ,91.87%,4.86%,1.64%,1.64%
2010,57,Mathews County ,92.02%,3.95%,1.82%,2.21%
2011,57,Mathews County ,88.87%,5.52%,2.52%,3.09%
2012,57,Mathews County ,88.22%,6.63%,2.78%,2.37%
2013,57,Mathews County ,88.34%,5.87%,1.93%,3.86%
2014,57,Mathews County ,86.92%,7.44%,2.65%,2.99%
2015,57,Mathews County ,89.73%,6.19%,1.77%,2.30%
2010,58,Mecklenburg County ,86.68%,7.83%,2.59%,2.90%
2011,58,Mecklenburg County ,85.80%,8.26%,2.66%,3.28%
2012,58,Mecklenburg County ,83.73%,9.23%,3.84%,3.20%
2013,58,Mecklenburg County ,85.78%,8.19%,2.92%,3.11%
2014,58,Mecklenburg County ,83.93%,9.75%,2.98%,3.34%
2015,58,Mecklenburg County ,85.33%,8.31%,3.53%,2.83%
2010,59,Middlesex County ,85.71%,8.43%,2.89%,2.97%
2011,59,Middlesex County ,86.73%,7.75%,2.56%,2.96%
2012,59,Middlesex County ,84.62%,8.72%,2.80%,3.87%
2013,59,Middlesex County ,86.56%,6.96%,3.04%,3.44%
2014,59,Middlesex County ,87.33%,6.45%,3.46%,2.75%
2015,59,Middlesex County ,84.69%,8.52%,3.67%,3.13%
2010,60,Montgomery County ,85.89%,6.71%,2.74%,4.66%
2011,60,Montgomery County ,87.00%,6.19%,2.64%,4.17%
2012,60,Montgomery County ,86.74%,6.66%,2.78%,3.82%
2013,60,Montgomery County ,90.23%,4.73%,1.72%,3.32%
2014,60,Montgomery County ,90.57%,4.61%,1.97%,2.85%
2015,60,Montgomery County ,88.87%,5.65%,2.17%,3.31%
2010,62,Nelson County ,87.66%,6.37%,2.94%,3.04%
2011,62,Nelson County ,88.61%,6.31%,2.40%,2.69%
2012,62,Nelson County ,85.51%,7.86%,2.46%,4.17%
2013,62,Nelson County ,88.31%,6.46%,2.12%,3.11%
2014,62,Nelson County ,90.14%,5.44%,2.39%,2.03%
2015,62,Nelson County ,87.82%,7.38%,2.08%,2.72%
2010,63,New Kent County ,89.36%,5.51%,2.38%,2.75%
2011,63,New Kent County ,90.25%,4.56%,2.20%,3.00%
2012,63,New Kent County ,90.41%,5.01%,2.00%,2.59%
2013,63,New Kent County ,92.33%,4.03%,1.69%,1.95%
2014,63,New Kent County ,91.39%,5.11%,2.06%,1.45%
2015,63,New Kent County ,90.30%,5.73%,1.56%,2.42%
2010,65,Northampton County ,85.21%,6.95%,3.06%,4.78%
2011,65,Northampton County ,82.79%,8.19%,3.15%,5.87%
2012,65,Northampton County ,81.66%,9.52%,4.09%,4.73%
2013,65,Northampton County ,81.16%,7.78%,4.21%,6.85%
2014,65,Northampton County ,78.18%,9.00%,5.25%,7.57%
2015,65,Northampton County ,80.46%,10.68%,3.54%,5.31%
2010,66,Northumberland County ,87.42%,8.19%,2.57%,1.83%
2011,66,Northumberland County ,88.33%,7.30%,2.46%,1.91%
2012,66,Northumberland County ,88.59%,7.04%,2.66%,1.71%
2013,66,Northumberland County ,89.96%,5.87%,1.27%,2.90%
2014,66,Northumberland County ,84.36%,9.93%,2.93%,2.79%
2015,66,Northumberland County ,83.51%,8.92%,3.64%,3.94%
2010,67,Nottoway County ,82.56%,9.44%,3.56%,4.45%
2011,67,Nottoway County ,83.38%,8.53%,3.03%,5.07%
2012,67,Nottoway County ,81.61%,9.93%,4.19%,4.27%
2013,67,Nottoway County ,81.25%,9.68%,4.34%,4.73%
2014,67,Nottoway County ,83.22%,8.96%,3.65%,4.17%
2015,67,Nottoway County ,82.23%,8.71%,3.35%,5.71%
2010,68,Orange County ,85.58%,7.85%,2.72%,3.84%
2011,68,Orange County ,85.80%,7.64%,2.34%,4.22%
2012,68,Orange County ,84.34%,9.24%,3.03%,3.39%
2013,68,Orange County ,86.62%,7.47%,2.94%,2.98%
2014,68,Orange County ,86.07%,7.79%,2.80%,3.35%
2015,68,Orange County ,86.44%,7.82%,2.75%,3.00%
2010,69,Page County ,83.21%,9.78%,3.72%,3.29%
2011,69,Page County ,86.05%,8.40%,2.88%,2.67%
2012,69,Page County ,84.98%,8.24%,3.43%,3.35%
2013,69,Page County ,87.80%,7.69%,2.44%,2.07%
2014,69,Page County ,89.10%,6.93%,1.85%,2.11%
2015,69,Page County ,86.94%,8.32%,2.28%,2.45%
2010,70,Patrick County ,85.06%,9.00%,2.91%,3.03%
2011,70,Patrick County ,83.70%,9.13%,3.02%,4.15%
2012,70,Patrick County ,84.04%,10.01%,2.37%,3.59%
2013,70,Patrick County ,89.03%,6.00%,1.72%,3.24%
2014,70,Patrick County ,89.22%,5.98%,2.14%,2.67%
2015,70,Patrick County ,87.99%,6.73%,2.18%,3.11%
2010,71,Pittsylvania County ,87.61%,6.80%,2.59%,3.00%
2011,71,Pittsylvania County ,88.22%,6.50%,2.42%,2.86%
2012,71,Pittsylvania County ,87.43%,7.15%,2.61%,2.80%
2013,71,Pittsylvania County ,87.42%,7.30%,2.57%,2.72%
2014,71,Pittsylvania County ,87.78%,6.41%,2.91%,2.89%
2015,71,Pittsylvania County ,87.95%,6.01%,2.65%,3.40%
2010,72,Powhatan County ,89.41%,6.19%,2.19%,2.21%
2011,72,Powhatan County ,90.13%,6.22%,1.88%,1.77%
2012,72,Powhatan County ,90.27%,5.42%,2.09%,2.22%
2013,72,Powhatan County ,91.62%,5.51%,1.31%,1.56%
2014,72,Powhatan County ,91.78%,5.44%,1.44%,1.35%
2015,72,Powhatan County ,90.52%,6.37%,1.65%,1.47%
2010,73,Prince Edward County ,83.57%,7.67%,3.49%,5.27%
2011,73,Prince Edward County ,85.11%,6.87%,3.15%,4.87%
2012,73,Prince Edward County ,83.59%,8.46%,3.76%,4.19%
2013,73,Prince Edward County ,84.14%,7.84%,3.41%,4.61%
2014,73,Prince Edward County ,82.73%,8.39%,4.06%,4.82%
2015,73,Prince Edward County ,82.35%,8.83%,3.76%,5.07%
2010,74,Prince George County ,89.28%,6.15%,2.03%,2.54%
2011,74,Prince George County ,90.98%,4.46%,2.30%,2.26%
2012,74,Prince George County ,90.20%,5.40%,1.86%,2.54%
2013,74,Prince George County ,90.59%,5.26%,1.87%,2.29%
2014,74,Prince George County ,89.31%,5.82%,2.10%,2.77%
2015,74,Prince George County ,87.80%,6.56%,2.43%,3.21%
2010,75,Prince William County ,88.16%,6.24%,2.31%,3.29%
2011,75,Prince William County ,88.49%,5.72%,2.31%,3.49%
2012,75,Prince William County ,87.20%,6.55%,2.56%,3.69%
2013,75,Prince William County ,88.57%,5.48%,2.44%,3.51%
2014,75,Prince William County ,87.66%,6.07%,2.59%,3.68%
2015,75,Prince William County ,87.39%,6.62%,2.44%,3.56%
2010,77,Pulaski County ,85.83%,6.53%,3.39%,4.24%
2011,77,Pulaski County ,88.70%,5.33%,2.54%,3.43%
